ENT,NOM_ENT,TOT_VIV,VIV_REM,VIV_EMIG,VIV_CIRC,VIV_RET,IAIM,GAIM,POS_NAL
1,Aguascalientes,198682,6.98,6.27,2.85,1.52,4.41,Alto,8
2,Baja California,601694,4.42,2.09,0.36,2.33,2.3,Medio,17
3,Baja California Sur,104808,1.25,0.86,0.58,0.64,0.83,Muy bajo,27
4,Campeche,158300,1.07,0.8,0.16,0.1,0.53,Muy bajo,29
5,Chiapas,800846,0.81,0.77,0.11,0.07,0.44,Muy bajo,31
6,Chihuahua,756780,4.59,3.38,1.06,1.28,2.58,Medio,14
7,Coahuila de Zaragoza,542615,3.58,2.07,0.83,0.7,1.8,Medio,20
8,Colima,133324,7.56,5.23,1.42,2.15,4.09,Alto,10
9,Distrito Federal,2124632,1.8,1.49,0.45,0.33,1.02,Muy bajo,26
10,Durango,324062,10.35,6.95,1.85,1.59,5.19,Muy alto,4
11,Guanajuato,921501,9.89,9.52,2.33,1.71,5.86,Muy alto,3
12,Guerrero,654017,8.23,6.53,0.87,1.12,4.19,Alto,9
13,Hidalgo,493644,5.19,7,1.66,0.91,3.69,Alto,12
14,Jalisco,1392956,8.16,6.31,1.86,1.75,4.52,Alto,7
15,México,2864077,2.25,2.53,0.58,0.34,1.43,Bajo,25
16,Michoacán de Ocampo,852787,11.96,10.18,2.96,2.41,6.88,Muy alto,2
17,Morelos,364972,6.7,7.13,1.32,1.16,4.08,Alto,11
18,Nayarit,218904,9.83,6.58,2.07,2.07,5.14,Muy alto,5
19,Nuevo León,886953,2.64,1.85,0.68,0.6,1.44,Bajo,23
20,Oaxaca,737937,4.33,4.6,0.58,0.74,2.56,Medio,15
21,Puebla,1057662,3.47,3.89,0.56,0.68,2.15,Medio,18
22,Querétaro,295750,3.99,4.5,1.5,0.72,2.68,Medio,13
23,Quintana Roo,211566,1.04,0.56,0.2,0.26,0.51,Muy bajo,30
24,San Luis Potosí,493916,8.55,7.26,1.34,1.19,4.58,Alto,6
25,Sinaloa,574795,4.79,3.42,0.91,0.62,2.43,Medio,16
26,Sonora,530968,3.34,1.47,0.32,0.88,1.5,Bajo,22
27,Tabasco,412265,0.67,0.51,0.16,0.04,0.35,Muy bajo,32
28,Tamaulipas,678041,3.85,2.8,0.62,0.76,2.01,Medio,19
29,Tlaxcala,193374,2.37,2.48,0.52,0.39,1.44,Bajo,24
30,Veracruz de Ignacio de la Llave,1605772,2.85,3.03,0.51,0.22,1.65,Bajo,21
31,Yucatán,372086,1.49,1.02,0.23,0.24,0.74,Muy bajo,28
32,Zacatecas,297915,13.51,11.73,3.41,2.62,7.82,Muy alto,1
