ENT,MUN,NOM_MUN,TOT_VIV,VIV_REM,VIV_EMIG,VIV_CIRC,VIV_RET,IAIM,GAIM,POS_NAL
1,1001,Aguascalientes,147269,4.24,3.87,1.53,1.04,2.662,Bajo,1092
1,1002,Asientos,7010,15.99,15.36,6.12,2.07,10.076,Alto,247
1,1003,Calvillo,10746,16.5,18.66,11.95,5.53,13.566,Muy Alto,97
1,1004,Cosío,2668,8.7,8.51,3.79,1.01,5.775,medio,624
1,1005,Jesús María,12692,8.97,10.06,1.77,1.22,5.133,medio,699
1,1006,Pabellón de Arteaga,6794,13.94,9.21,3.49,1.9,7.187,Alto,468
1,1007,Rincón de Romos,8191,8,10.39,4.66,2.77,6.487,medio,537
1,1008,San José de Gracia,1534,13.62,11.99,3.39,3,7.791,Alto,420
1,1009,Tepezalá,3354,18.49,23.05,3.1,1.37,11.85,Muy Alto,164
1,1010,El Llano,3000,11.27,16.93,11.83,1.13,10.22,Alto,240
1,1011,San Francisco de los Romo,4069,14.79,14.06,6.02,2.26,9.619,Alto,272
2,2001,Ensenada,90630,4.97,2.5,0.7,1.8,2.526,Bajo,1129
2,2002,Mexicali,192476,4.14,2.45,0.26,1.89,2.22,Bajo,1219
2,2003,Tecate,19165,5.95,2.79,0.29,3.09,3.186,Bajo,995
2,2004,Tijuana,295773,3.56,2.27,0.33,2.56,2.205,Bajo,1223
2,2005,Playas de Rosarito,15558,3.54,2.08,0,3.28,2.631,Bajo,1104
3,3001,Comondú,15784,1.97,1.95,1.1,1.1,1.577,Bajo,1389
3,3002,Mulegé,11394,1.17,0.53,0.37,0.44,0.612,Muy Bajo,1840
3,3003,La Paz,49608,0.86,0.97,0.35,0.33,0.621,Muy Bajo,1830
3,3008,Los Cabos,27796,0.88,0.87,0.78,1.02,0.901,Muy Bajo,1681
3,3009,Loreto,2954,1.42,0.58,0.07,0.03,0.495,Muy Bajo,1933
4,4001,Calkiní,9938,0.82,0.15,0.1,0,0.29,Muy Bajo,2095
4,4002,Campeche,54986,0.76,0.65,0.07,0.08,0.38,Muy Bajo,2027
4,4003,Carmen,41845,0.68,0.26,0.15,0.18,0.32,Muy Bajo,2074
4,4004,Champotón,16773,0.98,0.79,0.01,0.06,0.458,Muy Bajo,1965
4,4005,Hecelchakán,5276,0,0.04,0.15,0,0.045,Muy Bajo,2316
4,4006,Hopelchén,6560,0.08,0,0,0.03,0.027,Muy Bajo,2331
4,4007,Palizada,2136,0.75,0,0,0,0.207,Muy Bajo,2157
4,4008,Tenabo,1903,0.11,0.11,0.16,0,0.096,Muy Bajo,2284
4,4009,Escárcega,11334,2.88,3.49,0.5,0.21,1.821,Bajo,1312
4,4010,Calakmul,4614,1.69,0.93,0.15,0,0.671,Muy Bajo,1803
4,4011,Candelaria,8086,3.61,4.56,0.79,0.07,2.101,Bajo,1244
5,5001,Abasolo,344,22.09,16.86,0.87,2.03,10.499,Alto,221
5,5002,Acuña,26716,5.11,3.87,0.42,1.66,2.68,Bajo,1087
5,5003,Allende,5213,5.18,2.46,0.88,0.9,2.279,Bajo,1205
5,5004,Arteaga,4695,0.72,0.13,0.11,0.13,0.289,Muy Bajo,2097
5,5005,Candela,491,5.3,1.22,0,0.61,1.759,Bajo,1330
5,5006,Castaños,5382,6.41,4.59,0.26,0.46,2.939,Bajo,1035
5,5007,Cuatro Ciénegas,2965,2.36,1.45,0.44,0,1.069,Muy Bajo,1598
5,5008,Escobedo,690,18.26,17.54,2.17,1.59,9.946,Alto,255
5,5009,Francisco I. Madero,11040,4.1,1.42,1.04,0.82,1.805,Bajo,1316
5,5010,Frontera,16464,1.83,1.99,0.96,0.23,1.288,Bajo,1494
5,5011,General Cepeda,2716,1.33,1.22,0.85,0.33,0.949,Muy Bajo,1655
5,5012,Guerrero,556,6.47,2.7,0.54,1.62,2.841,Bajo,1051
