isicr3_oecd_bins,description,mex90ind1,mex90ind2,mex90ind3,mex90ind4,mex90ind5,mex90ind6,mex90ind7,mex90ind8,mex90ind9,mex90ind10,mex90ind11,mex90ind12,mex90ind13,mex90ind14,mex90ind15,mex90ind16,mex90ind17,mex90ind18,mex90ind19,mex90ind20,mex90ind21,mex90ind22
C01T05,"Agriculture, hunting, forestry and fishing",10001,10002,10003,10004,10099,10101,10102,10199,10200,10301,10302,10303,10399,10999,,,,,,,,
C10T14,Mining and quarrying,20001,20002,20099,20100,20201,20202,20299,20301,20302,20399,20999,,,,,,,,,,,
C15T16,"Food products, beverages and tobacco",31001,31002,31003,31004,31005,31006,31007,31008,31011,31012,31013,31014,31015,31016,31017,31021,31022,31031,31032,31033,31041,31099
C17T19,"Textiles, textile products, leather and footwear",31101,31102,31103,31104,31105,31106,31111,31199,31201,31211,,,,,,,,,,,,
C20,Wood and products of wood and cork,31301,31311,31321,,,,,,,,,,,,,,,,,,,
C21T22,"Pulp, paper, paper products, printing and publishing",32001,32011,32099,,,,,,,,,,,,,,,,,,,
C23,"Coke, refined petroleum products and nuclear fuel",32121,32131,32132,,,,,,,,,,,,,,,,,,,
C24,Chemicals and chemical products,32103,32104,32105,32111,32112,32113,32114,32115,32116,,,,,,,,,,,,,
C25,Rubber and plastics products,32141,32151,32152,,,,,,,,,,,,,,,,,,,
C26,Other non-metallic mineral products,32201,32202,32211,32221,32222,32299,,,,,,,,,,,,,,,,
C27,Basic metals,32301,32311,32399,,,,,,,,,,,,,,,,,,,
C28,Fabricated metal products,32401,32402,32403,32404,,,,,,,,,,,,,,,,,,
C29,"Machinery and equipment, nec",32411,32412,32441,,,,,,,,,,,,,,,,,,,
C30T33X,"Computer, Electronic and optical equipment",32413,32422,32421,32423,,,,,,,,,,,,,,,,,,
C31,"Electrical machinery and apparatus, nec",,,,,,,,,,,,,,,,,,,,,,
C34,"Motor vehicles, trailers and semi-trailers",32431,,,,,,,,,,,,,,,,,,,,,
C35,Other transport equipment,32432,,,,,,,,,,,,,,,,,,,,,
C36T37,Manufacturing nec; recycling,32500,,,,,,,,,,,,,,,,,,,,,
C40T41,"Electricity, gas and water supply",41000,41100,41999,,,,,,,,,,,,,,,,,,,
C73T74,R&D and other business activities,82011,82012,82013,83003,,,,,,,,,,,,,,,,,,
C90T93,"Other community, social and personal services",82101,82102,82103,85301,85302,85303,85001,85002,85003,85004,85011,85012,85014,,,,,,,,,
C45,Construction,42001,42002,42003,42004,42005,42011,42021,42099,42100,42999,,,,,,,,,,,,
C50T52,Wholesale and retail trade; repairs,50001,50011,50021,50031,50099,50101,50111,50121,50131,50141,50151,50161,50199,50200,85101,85102,85103,85199,,,,
C55,Hotels and restaurants,84001,84002,84099,84101,84102,84199,,,,,,,,,,,,,,,,
C60T63,Transport and storage,60001,60002,60003,60004,60005,60006,60099,60101,60102,60103,60104,60105,60199,,,,,,,,,
C64,Post and telecommunications,60200,60999,,,,,,,,,,,,,,,,,,,,
C65T67,Financial intermediation,70001,70002,70011,70021,70099,70100,,,,,,,,,,,,,,,,
C70,Real estate activities,70201,70202,,,,,,,,,,,,,,,,,,,,
C71,Renting of machinery and equipment,70301,,,,,,,,,,,,,,,,,,,,,
C72,Computer and related activities,83001,,,,,,,,,,,,,,,,,,,,,
C75,Public administration and defence; compulsory social security,81000,81001,81100,81200,81999,82301,82302,,,,,,,,,,,,,,,
C80,Education,82001,82002,82003,,,,,,,,,,,,,,,,,,,
C85,Health and social work,82201,82202,82203,82204,82205,82206,82207,82211,82212,82213,,,,,,,,,,,,
C95,Private households with employed persons,85200,,,,,,,,,,,,,,,,,,,,,
