isicr2	hs6
1110	010111
1110	010119
1110	010120
1110	010210
1110	010290
1110	010310
1110	010391
1110	010392
1110	010410
1110	010420
1110	010511
1110	010519
1110	010591
1110	010599
1130	010600
3111	020110
3111	020120
3111	020130
3111	020210
3111	020220
3111	020230
3111	020311
3111	020312
3111	020319
3111	020321
3111	020322
3111	020329
3111	020410
3111	020421
3111	020422
3111	020423
3111	020430
3111	020441
3111	020442
3111	020443
3111	020450
3111	020500
3111	020610
3111	020621
3111	020622
3111	020629
3111	020630
3111	020641
3111	020649
3111	020680
3111	020690
3111	020710
3111	020721
3111	020722
3111	020723
3111	020731
3111	020739
3111	020741
3111	020742
3111	020743
3111	020750
3111	020810
3111	020820
3111	020890
3111	020900
3111	021011
3111	021012
3111	021019
3111	021020
3111	021090
1301	030110
1301	030191
1301	030192
1301	030193
1301	030199
1301	030211
1301	030212
1301	030219
1301	030221
1301	030222
1301	030223
1301	030229
1301	030231
1301	030232
1301	030233
1301	030239
1301	030240
1301	030250
1301	030261
1301	030262
1301	030263
1301	030264
1301	030265
1301	030266
1301	030269
1301	030270
1301	030310
1301	030321
1301	030322
1301	030329
1301	030331
1301	030332
1301	030333
1301	030339
1301	030341
1301	030342
1301	030343
1301	030349
1301	030350
1301	030360
1301	030371
1301	030372
1301	030373
1301	030374
1301	030375
1301	030376
1301	030377
1301	030378
1301	030379
1301	030380
1301	030410
1301	030420
1301	030490
1301	030510
1301	030520
1301	030530
1301	030541
1301	030542
1301	030549
1301	030551
1301	030559
1301	030561
1301	030562
1301	030563
1301	030569
1301	030611
1301	030612
1301	030613
1301	030614
1301	030619
1301	030621
1301	030622
1301	030623
1301	030624
1301	030629
1301	030710
1301	030721
1301	030729
1301	030731
1301	030739
1301	030741
1301	030749
1301	030751
1301	030759
3111	030760
1301	030791
1301	030799
3112	040110
3112	040120
3112	040130
3112	040210
3112	040221
3112	040229
3112	040291
3112	040299
3112	040310
3112	040390
3112	040410
3112	040490
3112	040500
3112	040610
3112	040620
3112	040630
3112	040640
3112	040690
1110	040700
3112	040811
3112	040819
3112	040891
3112	040899
1110	040900
1110	041000
9999	050100
3111	050210
3111	050290
3211	050300
3111	050400
1110	050510
1110	050590
3111	050610
3111	050690
3111	050710
3111	050790
1302	050800
1301	050900
1130	051000
3111	051110
3114	051191
3111	051199
1110	060110
1110	060120
1110	060210
1110	060220
1110	060230
1110	060240
1110	060291
1110	060299
1110	060310
1110	060390
1110	060410
1110	060491
1110	060499
1110	070110
1110	070190
1110	070200
1110	070310
1110	070320
1110	070390
1110	070410
1110	070420
1110	070490
1110	070511
1110	070519
1110	070521
1110	070529
1110	070610
1110	070690
1110	070700
1110	070810
1110	070820
1110	070890
1110	070910
1110	070920
1110	070930
1110	070940
1110	070951
1110	070952
1110	070960
1110	070970
1110	070990
3113	071010
3113	071021
3113	071022
3113	071029
3113	071030
3121	071040
3113	071080
3113	071090
3113	071110
3113	071120
3113	071130
3113	071140
3113	071190
3113	071210
3113	071220
3113	071230
3113	071290
1110	071310
1110	071320
1110	071331
1110	071332
1110	071333
1110	071339
1110	071340
1110	071350
1110	071390
1110	071410
1110	071420
1110	071490
1110	080110
1110	080120
1110	080130
1110	080211
1110	080212
1110	080221
1110	080222
1110	080231
1110	080232
1110	080240
1110	080250
1110	080290
1110	080300
1110	080410
1110	080420
1110	080430
1110	080440
1110	080450
1110	080510
1110	080520
1110	080530
1110	080540
1110	080590
1110	080610
1110	080620
1110	080710
1110	080720
1110	080810
1110	080820
1110	080910
1110	080920
1110	080930
1110	080940
1110	081010
1110	081020
1110	081030
1110	081040
1110	081090
3113	081110
3113	081120
3113	081190
3113	081210
3113	081220
3113	081290
1110	081310
1110	081320
1110	081330
1110	081340
1110	081350
3113	081400
1110	090111
1110	090112
3121	090121
3121	090122
1110	090130
3121	090140
1110	090210
1110	090220
1110	090230
1110	090240
1110	090300
1110	090411
1110	090412
1110	090420
1110	090500
1110	090610
1110	090620
1110	090700
1110	090810
1110	090820
1110	090830
1110	090910
1110	090920
1110	090930
1110	090940
1110	090950
1110	091010
1110	091020
1110	091030
1110	091040
1110	091050
1110	091091
1110	091099
1110	100110
1110	100190
1110	100200
1110	100300
1110	100400
1110	100510
1110	100590
1110	100610
1110	100620
3116	100630
3116	100640
1110	100700
1110	100810
1110	100820
1110	100830
1110	100890
3116	110100
3116	110210
3116	110220
3116	110230
3116	110290
3116	110311
3116	110312
3116	110313
3116	110314
3116	110319
3116	110321
3116	110329
3116	110411
3116	110412
3116	110419
3116	110421
3116	110422
3116	110423
3116	110429
3116	110430
3116	110510
3116	110520
3116	110610
3116	110620
3116	110630
3133	110710
3133	110720
3121	110811
3121	110812
3121	110813
3121	110814
3121	110819
3121	110820
3121	110900
1110	120100
1110	120210
1110	120220
1110	120300
1110	120400
1110	120500
1110	120600
1110	120710
3211	120720
1110	120730
1110	120740
1110	120750
1110	120760
1110	120791
1110	120792
1110	120799
3115	120810
3115	120890
1110	120911
1110	120919
1110	120921
1110	120922
1110	120923
1110	120924
1110	120925
1110	120926
1110	120929
1110	120930
1110	120991
1110	120999
1110	121010
1110	121020
1210	121110
1210	121120
1210	121190
1110	121210
1210	121220
1110	121230
1110	121291
1110	121292
1110	121299
1110	121300
1110	121410
1110	121490
1110	130110
1110	130120
1110	130190
1210	130211
1210	130212
1210	130213
1210	130214
1210	130219
1210	130220
1210	130231
1210	130232
1210	130239
1110	140110
1110	140120
1110	140190
3219	140210
3219	140291
3219	140299
1110	140310
1110	140390
1210	140410
3211	140420
1210	140490
3111	150100
3111	150200
3111	150300
3114	150410
3114	150420
3114	150430
3111	150510
3111	150590
3111	150600
3115	150710
3115	150790
3115	150810
3115	150890
3115	150910
3115	150990
3115	151000
3115	151110
3115	151190
3115	151211
3115	151219
3115	151221
3115	151229
3115	151311
3115	151319
3115	151321
3115	151329
3115	151410
3115	151490
3115	151511
3115	151519
3115	151521
3115	151529
3115	151530
3115	151540
3115	151550
3115	151560
3115	151590
3115	151610
3115	151620
3115	151710
3115	151790
3115	151800
3115	151911
3115	151912
3115	151913
3115	151919
3115	151920
3511	151930
3523	152010
3523	152090
3115	152110
3115	152190
3115	152200
3111	160100
3111	160210
3111	160220
3111	160231
3111	160239
3111	160241
3111	160242
3111	160249
3111	160250
3111	160290
3111	160300
3114	160411
3114	160412
3114	160413
3114	160414
3114	160415
3114	160416
3114	160419
3114	160420
3114	160430
3114	160510
3114	160520
3114	160530
3114	160540
3114	160590
3118	170111
3118	170112
3118	170191
3118	170199
3118	170210
3118	170220
3118	170230
3118	170240
3511	170250
3118	170260
3118	170290
3118	170310
3118	170390
3119	170410
3119	170490
1110	180100
3119	180200
3119	180310
3119	180320
3119	180400
3119	180500
3119	180610
3119	180620
3119	180631
3119	180632
3119	180690
3117	190110
3117	190120
3117	190190
3117	190211
3117	190219
3117	190220
3117	190230
3117	190240
3121	190300
3116	190410
3116	190490
3117	190510
3117	190520
3117	190530
3117	190540
3117	190590
3113	200110
3113	200120
3113	200190
3113	200210
3113	200290
3113	200310
3113	200320
3113	200410
3113	200490
3121	200510
3113	200520
3113	200530
3113	200540
3113	200551
3113	200559
3113	200560
3113	200570
3121	200580
3113	200590
3119	200600
3113	200710
3113	200791
3113	200799
3113	200811
3113	200819
3113	200820
3113	200830
3113	200840
3113	200850
3113	200860
3113	200870
3113	200880
3113	200891
3113	200892
3113	200899
3113	200911
3113	200919
3113	200920
3113	200930
3113	200940
3113	200950
3113	200960
3113	200970
3113	200980
3113	200990
3121	210110
3121	210120
3121	210130
3121	210210
3121	210220
3121	210230
3121	210310
3121	210320
3121	210330
3121	210390
3121	210410
3121	210420
3121	210500
3121	210610
3121	210690
3134	220110
3134	220190
3134	220210
3134	220290
3133	220300
3132	220410
3132	220421
3132	220429
3131	220430
3132	220510
3132	220590
3132	220600
3511	220710
3511	220720
3134	220810
3134	220820
3134	220830
3134	220840
3134	220850
3134	220890
3121	220900
3111	230110
3114	230120
3116	230210
3116	230220
3116	230230
3116	230240
3116	230250
3118	230310
3118	230320
3118	230330
3115	230400
3115	230500
3115	230610
3115	230620
3115	230630
3115	230640
3115	230650
3115	230660
3115	230690
3132	230700
1110	230810
1110	230890
3122	230910
3122	230990
1110	240110
1110	240120
1110	240130
3140	240210
3140	240220
3140	240290
3140	240310
3140	240391
3140	240399
2903	250100
2902	250200
2902	250310
2902	250390
2909	250410
2909	250490
2901	250510
2901	250590
2909	250610
2909	250621
2909	250629
2901	250700
2901	250810
2901	250820
2901	250830
2901	250840
2901	250850
2901	250860
2901	250870
2901	250900
2902	251010
2902	251020
2902	251110
2902	251120
2909	251200
2909	251311
2909	251319
2909	251321
2909	251329
2901	251400
2901	251511
2901	251512
2901	251520
2901	251611
2901	251612
2901	251621
2901	251622
2901	251690
2901	251710
2901	251720
2901	251730
2901	251741
2901	251749
2901	251810
2901	251820
2901	251830
2901	251910
2901	251990
2901	252010
2901	252020
2901	252100
3692	252210
3692	252220
3692	252230
3692	252310
3692	252321
3692	252329
3692	252330
3692	252390
2909	252400
2909	252510
2909	252520
2909	252530
2909	252610
2909	252620
2909	252700
2902	252810
2902	252890
2909	252910
2909	252921
2909	252922
2909	252930
2902	253010
2902	253020
2902	253030
2902	253040
2902	253090
2301	260111
2301	260112
3511	260120
2302	260200
2302	260300
2302	260400
2302	260500
2302	260600
2302	260700
2302	260800
2302	260900
2302	261000
2302	261100
2302	261210
2302	261220
2302	261310
2302	261390
2302	261400
2302	261510
2302	261590
2302	261610
2302	261690
2302	261710
2302	261790
3710	261800
3710	261900
3720	262011
3720	262019
3720	262020
3720	262030
3720	262040
3720	262050
3720	262090
3710	262100
2100	270111
2100	270112
2100	270119
2100	270120
2100	270210
2100	270220
2909	270300
3540	270400
9999	270500
3530	270600
3530	270710
3530	270720
3530	270730
3530	270740
3530	270750
3530	270760
3530	270791
3530	270799
3530	270810
3540	270820
2200	270900
3530	271000
2200	271111
2200	271112
2200	271113
2200	271114
2200	271119
2200	271121
2200	271129
3530	271210
3530	271220
3530	271290
3530	271311
3530	271312
3530	271320
3530	271390
2909	271410
2909	271490
3530	271500
4101	271600
3511	280110
3511	280120
3511	280130
3511	280200
3529	280300
3511	280410
3511	280421
3511	280429
3511	280430
3511	280440
3511	280450
3511	280461
3511	280469
3511	280470
3511	280480
3511	280490
3511	280511
3511	280519
3511	280521
3511	280522
3511	280530
3511	280540
3511	280610
3511	280620
3511	280700
3511	280800
3511	280910
3511	280920
3511	281000
3511	281111
3511	281119
3511	281121
3511	281122
3511	281123
3511	281129
3511	281210
3511	281290
3511	281310
3511	281390
3511	281410
3511	281420
3511	281511
3511	281512
3511	281520
3511	281530
3511	281610
3511	281620
3511	281630
3511	281700
3511	281810
3511	281820
3511	281830
3511	281910
3511	281990
3511	282010
3511	282090
3511	282110
3511	282120
3511	282200
3511	282300
3511	282410
3511	282420
3511	282490
3511	282510
3511	282520
3511	282530
3511	282540
3511	282550
3511	282560
3511	282570
3511	282580
3511	282590
3511	282611
3511	282612
3511	282619
3511	282620
3511	282630
3511	282690
3511	282710
3511	282720
3511	282731
3511	282732
3511	282733
3511	282734
3511	282735
3511	282736
3511	282737
3511	282738
3511	282739
3511	282741
3511	282749
3511	282751
3511	282759
3511	282760
3511	282810
3511	282890
3511	282911
3511	282919
3511	282990
3511	283010
3511	283020
3511	283030
3511	283090
3511	283110
3511	283190
3511	283210
3511	283220
3511	283230
3511	283311
3511	283319
3511	283321
3511	283322
3511	283323
3511	283324
3511	283325
3511	283326
3511	283327
3511	283329
3511	283330
3511	283340
3511	283410
3511	283421
3511	283422
3511	283429
3511	283510
3511	283521
3511	283522
3511	283523
3511	283524
3511	283525
3511	283526
3511	283529
3511	283531
3511	283539
3511	283610
3511	283620
3511	283630
3511	283640
3511	283650
3511	283660
3511	283670
3511	283691
3511	283692
3511	283693
3511	283699
3511	283711
3511	283719
3511	283720
3511	283800
3511	283911
3511	283919
3511	283920
3511	283990
3511	284011
3511	284019
3511	284020
3511	284030
3511	284110
3511	284120
3511	284130
3511	284140
3511	284150
3511	284160
3511	284170
3511	284180
3511	284190
3511	284210
3511	284290
3511	284310
3511	284321
3511	284329
3511	284330
3511	284390
3511	284410
3511	284420
3720	284430
3511	284440
3511	284450
3511	284510
3511	284590
3511	284610
3511	284690
3511	284700
3511	284810
3511	284890
3511	284910
3511	284920
3511	284990
3511	285000
3511	285100
3511	290110
3511	290121
3511	290122
3511	290123
3511	290124
3511	290129
3511	290211
3511	290219
3511	290220
3511	290230
3511	290241
3511	290242
3511	290243
3511	290244
3511	290250
3511	290260
3511	290270
3511	290290
3511	290311
3511	290312
3511	290313
3511	290314
3511	290315
3511	290316
3511	290319
3511	290321
3511	290322
3511	290323
3511	290329
3511	290330
3511	290340
3511	290351
3511	290359
3511	290361
3511	290362
3511	290369
3511	290410
3511	290420
3511	290490
3511	290511
3511	290512
3511	290513
3511	290514
3511	290515
3511	290516
3511	290517
3511	290519
3511	290521
3511	290522
3511	290529
3511	290531
3511	290532
3511	290539
3511	290541
3511	290542
3511	290543
3511	290544
3511	290549
3511	290550
3511	290611
3511	290612
3511	290613
3511	290614
3511	290619
3511	290621
3511	290629
3511	290711
3511	290712
3511	290713
3511	290714
3511	290715
3511	290719
3511	290721
3511	290722
3511	290723
3511	290729
3511	290730
3511	290810
3511	290820
3511	290890
3511	290911
3511	290919
3511	290920
3511	290930
3511	290941
3511	290942
3511	290943
3511	290944
3511	290949
3511	290950
3511	290960
3511	291010
3511	291020
3511	291030
3511	291090
3511	291100
3511	291211
3511	291212
3511	291213
3511	291219
3511	291221
3511	291229
3511	291230
3511	291241
3511	291242
3511	291249
3511	291250
3511	291260
3511	291300
3511	291411
3511	291412
3511	291413
3511	291419
3511	291421
3511	291422
3511	291423
3511	291429
3511	291430
3511	291441
3511	291449
3511	291450
3511	291461
3511	291469
3511	291470
3511	291511
3511	291512
3511	291513
3511	291521
3511	291522
3511	291523
3511	291524
3511	291529
3511	291531
3511	291532
3511	291533
3511	291534
3511	291535
3511	291539
3511	291540
3511	291550
3511	291560
3511	291570
3511	291590
3511	291611
3511	291612
3511	291613
3511	291614
3511	291615
3511	291619
3511	291620
3511	291631
3511	291632
3511	291633
3511	291639
3511	291711
3511	291712
3511	291713
3511	291714
3511	291719
3511	291720
3511	291731
3511	291732
3511	291733
3511	291734
3511	291735
3511	291736
3511	291737
3511	291739
3511	291811
3511	291812
3511	291813
3511	291814
3511	291815
3511	291816
3511	291817
3511	291819
3511	291821
3511	291822
3511	291823
3511	291829
3511	291830
3511	291890
3511	291900
3511	292010
3511	292090
3511	292111
3511	292112
3511	292119
3511	292121
3511	292122
3511	292129
3511	292130
3511	292141
3511	292142
3511	292143
3511	292144
3511	292145
3511	292149
3511	292151
3511	292159
3511	292211
3511	292212
3511	292213
3511	292219
3511	292221
3511	292222
3511	292229
3511	292230
3511	292241
3511	292242
3511	292249
3511	292250
3511	292310
3511	292320
3511	292390
3511	292410
3511	292421
3511	292429
3511	292511
3511	292519
3511	292520
3511	292610
3511	292620
3511	292690
3511	292700
3511	292800
3511	292910
3511	292990
3511	293010
3511	293020
3511	293030
3511	293040
3511	293090
3511	293100
3511	293211
3511	293212
3511	293213
3511	293219
3511	293221
3511	293229
3511	293290
3511	293311
3511	293319
3511	293321
3511	293329
3511	293331
3511	293339
3511	293340
3511	293351
3511	293359
3511	293361
3511	293369
3511	293371
3511	293379
3511	293390
3511	293410
3511	293420
3511	293430
3511	293490
3511	293500
3522	293610
3522	293621
3522	293622
3522	293623
3522	293624
3522	293625
3522	293626
3522	293627
3522	293628
3522	293629
3522	293690
3522	293710
3522	293721
3522	293722
3522	293729
3522	293791
3522	293792
3522	293799
