"VAR","Variable","COU","Country","ROW","Row sector (from:)","COL","Column sector (to:)","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C01T05","Agriculture, hunting, forestry and fishing","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,1.126,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C10T14","Mining and quarrying","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.02,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C15T16","Food products, beverages and tobacco","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.08,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C17T19","Textiles, textile products, leather and footwear","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.003,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C20","Wood and products of wood and cork","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.002,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C21T22","Pulp, paper, paper products, printing and publishing","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.008,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C23","Coke, refined petroleum products and nuclear fuel","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.018,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C24","Chemicals and chemical products","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.048,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C25","Rubber and plastics products","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.006,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C26","Other non-metallic mineral products","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.002,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C27","Basic metals","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.002,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C28","Fabricated metal products","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.004,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C29","Machinery and equipment, nec ","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.001,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C30T33X","Computer, Electronic and optical equipment","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.001,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C31","Electrical machinery and apparatus, nec","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0,,
"LEONTFD","Leontief inverse matrix (domestic)","MEX","Mexico","DOM_C34","Motor vehicles, trailers and semi-trailers","C01T05","Agriculture, hunting, forestry and fishing","1995","1995","IDX","Index","0","Units",,,0.001,,
