1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001
					Albania	Albania	Albania	Albania	Albania	Albania	Albania	Albania
Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola	Angola
Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla	Anguilla
Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda
Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina	Argentina
							Armenia	Armenia	Armenia	Armenia	Armenia	Armenia
Aruba	Aruba	Aruba	Aruba	Aruba	Aruba	Aruba	Aruba	Aruba				
	"Bahamas, The"	"Bahamas, The"	"Bahamas, The"	"Bahamas, The"	"Bahamas, The"	"Bahamas, The"						
		Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain	Bahrain
Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Bangladesh
Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados	Barbados
						Belarus	Belarus	Belarus	Belarus	Belarus		
Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize	Belize
Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin	Benin
Bermuda												
Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan	Bhutan
Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia	Bolivia
				Bosnia-Hercegov	Bosnia and Hercegovina	Bosnia-Hercegov	Bosnia and Hercegovina	Bosnia-Hercegov	Bosnia-Hercegov	Bosnia-Hercegov	Bosnia-Hercegov	Bosnia-Hercegov
Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana	Botswana
Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil	Brazil
British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory
"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"	"Virgin Islands, British"
