UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
450040	AFGHAN	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2		Col2	Non-MFN
580080	ALBANIA	Col2	Col2	Col2	Col2	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN		MFN	MFN
130120	ALGERIA	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN		Insular	Insular possession of the US
160240	ANGOLA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP+	GSP+	GSP+	GSP+	GSP+		GSP	Generalized System of Preferences
447840	ARAB_EM	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN		GSP+	Enhanced Generalized System of Preferences for Least Developed Beneficiary Countries
330320	ARGENT	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP		CBI	Carribean Basin Initiative
460510	ARMENIA				MFN	MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP		CBTPA	Caribbean Basin Trade Partnership Act
710360	AUSTRAL	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN		CAN	CUSFTA/NAFTA - Canada
550400	AUSTRIA	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN		ISR	Israel FTA
460310	AZERBAIJ				Col2	Col2	Col2	Col2	MFN	MFN	MFN	MFN	MFN	MFN		MEX	NAFTA - Mexico
350440	BAHAMAS	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI		ATPA	Andean Trade Preference Act
440480	BAHRAIN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP		AGOA	African Growth and Opportunity Act
350520	BARBADO	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI		AGOA+	AGOA and GSP+
530560	BEL_LUX	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN			
581120	BELARUS				Col2	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN			
360840	BELIZE	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBI	CBTPA
162040	BENIN	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
220600	BERMUDA	GSP	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
450500	BNGLDSH	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
330680	BOLIVIA	GSP	GSP	GSP	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA	ATPA
590700	BOSNIA-H					GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
330760	BRAZIL	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
581000	BULGARIA	Col2	Col2	Col2	Col2	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
168540	BURKINA	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
451040	BURMA	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
161080	BURUNDI	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
141400	C_AFRICA	GSP+	MFN	MFN	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
451160	CAMBOD	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	GSP+	GSP+	GSP+	GSP+	GSP+
141200	CAMEROON	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	AGOA
211240	CANADA	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN
141480	CHAD	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	AGOA+
331520	CHILE	MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
481560	CHINA	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN	MFN
