hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	agoa_indicator	cbtpa_indicator	cbtpa_rate_type_code	cbtpa_ave	cbtpa_ad_val_rate	cbtpa_specific_rate	cbtpa_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	2001	"Live purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/89"	"12/31/2100"		10305.6
1011900	2001	"Live horses other than purebred breeding horses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	7	.2	.2	0	0	"1/1/90"	"12/31/2100"		11801.9
1012010	2001	"Live purebred breeding asses"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/89"	"12/31/2100"		350.375
1012020	2001	"Live asses other than purebred breeding asses"	"NO"	""	"B"	7	.068	.068	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.15	.15	0	0	"12/21/00"	"9/30/08"		10.7843
1012030	2001	"Mules and hinnies imported for immediate slaughter"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/89"	"12/31/2100"		
1012040	2001	"Mules and hinnies not imported for immediate slaughter"	"NO"	""	"B"	7	.045	.045	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		756
1021000	2001	"Live purebred bovine breeding animals"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	0	0	0	0	0	"1/1/89"	"12/31/2100"		1039.52
1029020	2001	"Cows imported specially for dairy purposes"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	2	.000065	0	.066	0	"1/1/90"	"12/31/2100"		1013.66
1029040	2001	"Live bovine animals other than purebred or those imported for dairy purposes"	"NO"	"KG"	"B"	2	.000017	0	.01	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	2	.000094	0	.055	0	"12/21/00"	"9/30/08"		586.877
1031000	2001	"Live purebred breeding swine"	"NO"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	0	0	0	0	0	"9/3/95"	"12/31/2100"		227.324
