hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	90	"Live purebred breeding horses"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											0	0	0	0				6496.78
1011900	90	"Live horses other than purebred breeding horses"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.2	.2	0	0				4934.48
1012010	90	"Live purebred breeding asses"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											0	0	0	0				2482.57
1012020	90	"Live asses other than purebred breeding asses"	"number"	""			.15	.15	0	0	""	""	""			""	""	"CA"		0	0	0				.15	.15	0	0	"E"		0	0	0		"IL"		0	0	0											.15	.15	0	0				
1012030	90	"Mules and hinnies imported for immediate slaughter"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											0	0	0	0				
1012040	90	"Mules and hinnies not imported for immediate slaughter"	"number"	""			.1	.1	0	0	""	""	""			""	""	"CA"		.08	.08	0				.1	.1	0	0	"E"		0	0	0		"IL"		0	0	0											.2	.2	0	0				
1021000	90	"Live purebred bovine breeding animals"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											0	0	0	0				1189.25
1029020	90	"Cows imported specially for dairy purposes"	"number"	"kilograms"			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.000072	0	.066	0				917.18
1029040	90	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"			.000049	0	.022	0	""	""	""			""	""	"CA"		.000029	0	.013				.000049	0	.022	0	"E"		0	0	0		"IL"		0	0	0											.000121	0	.055	0				453.575
1031000	90	"Live purebred breeding swine"	"number"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											0	0	0	0				370.703
1039100	90	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.000883	0	.044	0				49.8105
1039200	90	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.000356	0	.044	0				123.59
1041000	90	"Live sheep"	"number"	"kilograms"			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.042627	0	3	0				70.3784
1042000	90	"Live goats"	"number"	""			.004272	0	1.5	0	""	""	""			""	""	"CA"		.002563	0	.9				.004272	0	1.5	0	"E"		0	0	0		"IL"		0	0	0											.008545	0	3	0				351.086
1051100	90	"Live chickens weighing not over 185 g each"	"number"	""			.019802	0	.02	0	""	""	""			""	""	"CA"		.015841	0	.016				.019802	0	.02	0	"E"		0	0	0		"IL"		0	0	0											.039604	0	.04	0				1.01001
1051900	90	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""			.014544	0	.02	0	""	""	""			""	""	"CA"		.011635	0	.016				.014544	0	.02	0	"E"		0	0	0		"IL"		0	0	0											.029087	0	.04	0				1.37518
1059100	90	"Live chickens weighing over 185 g each"	"number"	"kilograms"			.0171	0	.044	0	""	""	""			""	""	"CA"		.013602	0	.035				.0171	0	.044	0	"E"		0	0	0		"IL"		0	0	0											.068399	0	.176	0				2.57314
1059900	90	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"			.004423	0	.044	0	""	""	""			""	""	"CA"		.003518	0	.035				.004423	0	.044	0	"E"		0	0	0		"IL"		0	0	0											.01769	0	.176	0				9.94903
1060010	90	"Live birds, other than poultry"	"number"	""			.04	.04	0	0	"A"	""	""			""	""	"CA"		0	0	0				0	0	0	0	"E"		0	0	0		"IL"		0	0	0											.2	.2	0	0				14.4266
1060030	90	"Live foxes"	"number"	""			.075	.075	0	0	""	""	""			""	""	"CA"		0	0	0				.075	.075	0	0	"E"		0	0	0		"IL"		0	0	0											.15	.15	0	0				42.704
1060050	90	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"not available"	""			0	0	0	0	""	""	""			""	""	""		0	0	0				0	0	0	0	""		0	0	0		""		0	0	0											.15	.15	0	0				97.039
2011000	90	"Carcasses and half-carcasses of bovine animals, fresh or chilled"	"kilograms"	""			.013572	0	.044	0	""	""	""			""	""	"CA"		.010796	0	.035				.013572	0	.044	0	"E*"		0	0	0		"IL"		0	0	0											.040717	0	.132	0				3.2419
2012020	90	"Fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""			.04	.04	0	0	""	""	""			""	""	"CA"		.032	.032	0				.04	.04	0	0	"E*"		0	0	0		"IL"		0	0	0											.2	.2	0	0				1.99788
