hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1011100	93	"Live purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		5358.86
1011900	93	"Live horses other than purebred breeding horses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.2	.2	0	0	""	""		2871.81
1012010	93	"Live purebred breeding asses"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		6200
1012020	93	"Live asses other than purebred breeding asses"	"number"	""	""		.15	.15	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.15	.15	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		1175.86
1012030	93	"Mules and hinnies imported for immediate slaughter"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		
1012040	93	"Mules and hinnies not imported for immediate slaughter"	"number"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.05	.05	0		""		.1	.1	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		
1021000	93	"Live purebred bovine breeding animals"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		1027.24
1029020	93	"Cows imported specially for dairy purposes"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.000075	0	.066	0	""	""		878.65
1029040	93	"Live bovine animals other than purebred or those imported for dairy purposes"	"number"	"kilograms"	""		.000041	0	.022	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.000041	0	.022		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.000103	0	.055	0	""	""		532.358
1031000	93	"Live purebred breeding swine"	"number"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		0	0	0	0	""	""		867.495
1039100	93	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.001086	0	.044	0	""	""		40.519
1039200	93	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.000369	0	.044	0	""	""		119.347
1041000	93	"Live sheep"	"number"	"kilograms"	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.035414	0	3	0	""	""		84.7134
1042000	93	"Live goats"	"number"	""	""		.001851	0	1.5	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.001851	0	1.5		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.003703	0	3	0	""	""		810.189
1051100	93	"Live chickens weighing not over 185 g each"	"number"	""	""		.017092	0	.02	0	""	""	""	""	""	""	""	"CA"		.008546	0	.01		""		.017092	0	.02		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.034184	0	.04	0	""	""		1.17013
1051900	93	"Live ducks, geese and guineas, weighing not more than 185 g each"	"number"	""	""		.015021	0	.02	0	""	""	""	""	""	""	""	"CA"		.00751	0	.01		""		.015021	0	.02		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.030041	0	.04	0	""	""		1.3315
1059100	93	"Live chickens weighing over 185 g each"	"number"	"kilograms"	""		.015768	0	.044	0	""	""	""	""	""	""	""	"CA"		.007884	0	.022		""		.015768	0	.044		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.063074	0	.176	0	""	""		2.79038
1059900	93	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"number"	"kilograms"	""		.006116	0	.044	0	""	""	""	""	""	""	""	"CA"		.003058	0	.022		""		.006116	0	.044		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.024463	0	.176	0	""	""		7.19451
1060010	93	"Live birds, other than poultry"	"number"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0	0	0		""		0	0	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		17.813
1060030	93	"Live foxes"	"number"	""	""		.075	.075	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.075	.075	0		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.15	.15	0	0	""	""		
1060050	93	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"not available"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.15	.15	0	0	""	""		190.033
2011000	93	"Carcasses and half-carcasses of bovine animals, fresh or chilled"	"kilograms"	""	""		.013281	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.013281	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.039844	0	.132	0	""	""		3.3129
2012020	93	"Fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		1.34249
2012040	93	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, bone in"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.61095
2012060	93	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, bone in"	"kilograms"	""	""		.019172	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.019172	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.057516	0	.132	0	""	""		2.295
2013020	93	"Fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		3.75521
2013040	93	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, fresh or chilled, boneless"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.38961
2013060	93	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, fresh or chilled, boneless"	"kilograms"	""	""		.016633	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.016633	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.049898	0	.132	0	""	""		2.64539
2021000	93	"Carcasses and half-carcasses of bovine animals, frozen"	"kilograms"	""	""		.021571	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.021571	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.064712	0	.132	0	""	""		2.0398
2022020	93	"Fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""		.04	.04	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.04	.04	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		3.16113
2022040	93	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, bone in"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.66072
2022060	93	"Non retail cuts of meat of bovine animals, other than carcasses or half-carcasses, frozen, bone in"	"kilograms"	""	""		.020688	0	.044	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.020688	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.062064	0	.132	0	""	""		2.12685
2023020	93	"Fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""		.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		.02	.02	0		""		0	0	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.15853
2023040	93	"Retail cuts of meat of bovine animals, other than fancy retail beef cuts, frozen, boneless"	"kilograms"	""	""		.1	.1	0	0	""	""	""	""	""	""	""	"CA"		.05	.05	0		""		.1	.1	0		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.2	.2	0	0	""	""		2.46256
2023060	93	"Non retail cuts of meat of bovine animals, other than carcasses and half-carcasses, frozen, boneless"	"kilograms"	""	""		.01886	0	.044	0	""	""	""	""	""	""	""	"CA"		.00943	0	.022		""		.01886	0	.044		"E*"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.05658	0	.132	0	""	""		2.33298
2031100	93	"Carcasses and half-carcasses of swine, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.030905	0	.055	0	""	""		1.77964
2031210	93	"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"	"kilograms"	""	""		.007309	0	.022	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.007309	0	.022		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.023921	0	.072	0	""	""		3.00991
2031290	93	"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.030714	0	.055	0	""	""		1.79069
2031920	93	"Meat of swine nesi, retail cuts, fresh or chilled"	"kilograms"	""	""		.006803	0	.022	0	""	""	""	""	""	""	""	"CA"		0	0	0		""		.006803	0	.022		"E"		0	0	0		"IL"		0	0	0		"J"		0	0	0		""	""		.022264	0	.072	0	""	""		3.2339
2031940	93	"Meat of swine, nesi, non retail cuts, fresh or chilled"	"kilograms"	""	""		0	0	0	0	""	""	""	""	""	""	""	""		0	0	0		""		0	0	0		""		0	0	0		""		0	0	0		""		0				""	""		.023051	0	.055	0	""	""		2.386
