"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"I2","MEX","1110","Mexico","USA","United States",1986,"Export",6,1742293.024
"I2","MEX","1110","Mexico","USA","United States",1986,"Gross Exp.",2,1742293.024
"I2","MEX","1110","Mexico","USA","United States",1986,"Gross Imp.",1,656727.992
"I2","MEX","1110","Mexico","USA","United States",1986,"Import",5,656727.992
"I2","MEX","1110","Mexico","USA","United States",1987,"Export",6,1261134.257
"I2","MEX","1110","Mexico","USA","United States",1987,"Gross Exp.",2,1261134.257
"I2","MEX","1110","Mexico","USA","United States",1987,"Gross Imp.",1,856078.497
"I2","MEX","1110","Mexico","USA","United States",1987,"Import",5,856078.497
"I2","MEX","1110","Mexico","USA","United States",1988,"Export",6,1244096.533
"I2","MEX","1110","Mexico","USA","United States",1988,"Gross Exp.",2,1244096.533
"I2","MEX","1110","Mexico","USA","United States",1988,"Gross Imp.",1,1423562.97
"I2","MEX","1110","Mexico","USA","United States",1988,"Import",5,1423562.97
"I2","MEX","1110","Mexico","USA","United States",1989,"Export",6,1494878.214
"I2","MEX","1110","Mexico","USA","United States",1989,"Gross Exp.",2,1494878.214
"I2","MEX","1110","Mexico","USA","United States",1989,"Gross Imp.",1,1554875.301
"I2","MEX","1110","Mexico","USA","United States",1989,"Import",5,1554875.301
"I2","MEX","1110","Mexico","USA","United States",1990,"Export",6,1918928.176
"I2","MEX","1110","Mexico","USA","United States",1990,"Gross Exp.",2,1918928.176
"I2","MEX","1110","Mexico","USA","United States",1990,"Gross Imp.",1,1529260.845
"I2","MEX","1110","Mexico","USA","United States",1990,"Import",5,1529260.845
"I2","MEX","1110","Mexico","USA","United States",1991,"Export",6,1984693.435
"I2","MEX","1110","Mexico","USA","United States",1991,"Gross Exp.",2,1984693.435
"I2","MEX","1110","Mexico","USA","United States",1991,"Gross Imp.",1,1446298.186
"I2","MEX","1110","Mexico","USA","United States",1991,"Import",5,1446298.186
"I2","MEX","1110","Mexico","USA","United States",1992,"Export",6,1826015.008
"I2","MEX","1110","Mexico","USA","United States",1992,"Gross Exp.",2,1826015.008
"I2","MEX","1110","Mexico","USA","United States",1992,"Gross Imp.",1,2053191.984
"I2","MEX","1110","Mexico","USA","United States",1992,"Import",5,2053191.984
"I2","MEX","1110","Mexico","USA","United States",1993,"Export",6,2190109
"I2","MEX","1110","Mexico","USA","United States",1993,"Gross Exp.",2,2190109
"I2","MEX","1110","Mexico","USA","United States",1993,"Gross Imp.",1,1835920
"I2","MEX","1110","Mexico","USA","United States",1993,"Import",5,1835920
"I2","MEX","1110","Mexico","USA","United States",1994,"Export",6,2277805.366
"I2","MEX","1110","Mexico","USA","United States",1994,"Gross Exp.",2,2277805.366
"I2","MEX","1110","Mexico","USA","United States",1994,"Gross Imp.",1,2325879
"I2","MEX","1110","Mexico","USA","United States",1994,"Import",5,2325879
"I2","MEX","1110","Mexico","USA","United States",1995,"Export",6,3366746.976
"I2","MEX","1110","Mexico","USA","United States",1995,"Gross Exp.",2,3366746.976
"I2","MEX","1110","Mexico","USA","United States",1995,"Gross Imp.",1,1930742.024
"I2","MEX","1110","Mexico","USA","United States",1995,"Import",5,1930742.024
"I2","MEX","1110","Mexico","USA","United States",1996,"Export",6,2764553.831
"I2","MEX","1110","Mexico","USA","United States",1996,"Gross Exp.",2,2764553.831
"I2","MEX","1110","Mexico","USA","United States",1996,"Gross Imp.",1,3562476.616
"I2","MEX","1110","Mexico","USA","United States",1996,"Import",5,3562476.616
"I2","MEX","1110","Mexico","USA","United States",1997,"Export",6,2965850.09
"I2","MEX","1110","Mexico","USA","United States",1997,"Gross Exp.",2,2965850.09
"I2","MEX","1110","Mexico","USA","United States",1997,"Gross Imp.",1,3154929.335
"I2","MEX","1110","Mexico","USA","United States",1997,"Import",5,3154929.335
"I2","MEX","1110","Mexico","USA","United States",1998,"Export",6,3257402.769
"I2","MEX","1110","Mexico","USA","United States",1998,"Gross Exp.",2,3257402.769
"I2","MEX","1110","Mexico","USA","United States",1998,"Gross Imp.",1,3467015.984
"I2","MEX","1110","Mexico","USA","United States",1998,"Import",5,3467015.984
"I2","MEX","1110","Mexico","USA","United States",1999,"Export",6,3278112.715
"I2","MEX","1110","Mexico","USA","United States",1999,"Gross Exp.",2,3278112.715
"I2","MEX","1110","Mexico","USA","United States",1999,"Gross Imp.",1,3249316.266
"I2","MEX","1110","Mexico","USA","United States",1999,"Import",5,3249316.266
"I2","MEX","1110","Mexico","USA","United States",2000,"Export",6,3481640.126
"I2","MEX","1110","Mexico","USA","United States",2000,"Gross Exp.",2,3481640.126
"I2","MEX","1110","Mexico","USA","United States",2000,"Gross Imp.",1,3486247.771
"I2","MEX","1110","Mexico","USA","United States",2000,"Import",5,3486247.771
"I2","MEX","1110","Mexico","USA","United States",2001,"Export",6,3216826.746
"I2","MEX","1110","Mexico","USA","United States",2001,"Gross Exp.",2,3216826.746
"I2","MEX","1110","Mexico","USA","United States",2001,"Gross Imp.",1,3751930.124
"I2","MEX","1110","Mexico","USA","United States",2001,"Import",5,3751930.124
"I2","MEX","1110","Mexico","USA","United States",2002,"Export",6,2993080.373
"I2","MEX","1110","Mexico","USA","United States",2002,"Gross Exp.",2,2993080.373
"I2","MEX","1110","Mexico","USA","United States",2002,"Gross Imp.",1,3810726.929
"I2","MEX","1110","Mexico","USA","United States",2002,"Import",5,3810726.929
"I2","MEX","1110","Mexico","USA","United States",2003,"Export",6,3842133.692
"I2","MEX","1110","Mexico","USA","United States",2003,"Gross Exp.",2,3842133.692
"I2","MEX","1110","Mexico","USA","United States",2003,"Gross Imp.",1,4082638.317
"I2","MEX","1110","Mexico","USA","United States",2003,"Import",5,4082638.317
"I2","MEX","1110","Mexico","USA","United States",2004,"Export",6,4487227.301
"I2","MEX","1110","Mexico","USA","United States",2004,"Gross Exp.",2,4487227.301
"I2","MEX","1110","Mexico","USA","United States",2004,"Gross Imp.",1,4022374.156
"I2","MEX","1110","Mexico","USA","United States",2004,"Import",5,4022374.156
"I2","MEX","1110","Mexico","USA","United States",2005,"Export",6,4693883.151
"I2","MEX","1110","Mexico","USA","United States",2005,"Gross Exp.",2,4693883.151
"I2","MEX","1110","Mexico","USA","United States",2005,"Gross Imp.",1,3988026.333
"I2","MEX","1110","Mexico","USA","United States",2005,"Import",5,3988026.333
"I2","MEX","1110","Mexico","USA","United States",2006,"Export",6,5356862.245
"I2","MEX","1110","Mexico","USA","United States",2006,"Gross Exp.",2,5356862.245
"I2","MEX","1110","Mexico","USA","United States",2006,"Gross Imp.",1,4596134.51
"I2","MEX","1110","Mexico","USA","United States",2006,"Import",5,4596134.51
"I2","MEX","1110","Mexico","USA","United States",2007,"Export",6,5672995.35
"I2","MEX","1110","Mexico","USA","United States",2007,"Gross Exp.",2,5672995.35
"I2","MEX","1110","Mexico","USA","United States",2007,"Gross Imp.",1,5567549.897
"I2","MEX","1110","Mexico","USA","United States",2007,"Import",5,5567549.897
"I2","MEX","1110","Mexico","USA","United States",2008,"Export",6,5696175.248
"I2","MEX","1110","Mexico","USA","United States",2008,"Gross Exp.",2,5696175.248
"I2","MEX","1110","Mexico","USA","United States",2008,"Gross Imp.",1,7896645.252
"I2","MEX","1110","Mexico","USA","United States",2008,"Import",5,7896645.252
"I2","MEX","1110","Mexico","USA","United States",2009,"Export",6,5721802.39
"I2","MEX","1110","Mexico","USA","United States",2009,"Gross Exp.",2,5721802.39
"I2","MEX","1110","Mexico","USA","United States",2009,"Gross Imp.",1,5693190.61
"I2","MEX","1110","Mexico","USA","United States",2009,"Import",5,5693190.61
"I2","MEX","1110","Mexico","USA","United States",2010,"Export",6,6613306.982
"I2","MEX","1110","Mexico","USA","United States",2010,"Gross Exp.",2,6613306.982
"I2","MEX","1110","Mexico","USA","United States",2010,"Gross Imp.",1,6354733.21
"I2","MEX","1110","Mexico","USA","United States",2010,"Import",5,6354733.21
"I2","MEX","1130","Mexico","USA","United States",1986,"Export",6,289
"I2","MEX","1130","Mexico","USA","United States",1986,"Gross Exp.",2,289
"I2","MEX","1130","Mexico","USA","United States",1986,"Gross Imp.",1,2801
"I2","MEX","1130","Mexico","USA","United States",1986,"Import",5,2801
"I2","MEX","1130","Mexico","USA","United States",1987,"Export",6,573.515
"I2","MEX","1130","Mexico","USA","United States",1987,"Gross Exp.",2,573.515
"I2","MEX","1130","Mexico","USA","United States",1987,"Gross Imp.",1,4331.181
"I2","MEX","1130","Mexico","USA","United States",1987,"Import",5,4331.181
"I2","MEX","1130","Mexico","USA","United States",1988,"Export",6,261.253
"I2","MEX","1130","Mexico","USA","United States",1988,"Gross Exp.",2,261.253
"I2","MEX","1130","Mexico","USA","United States",1988,"Gross Imp.",1,8310.742
"I2","MEX","1130","Mexico","USA","United States",1988,"Import",5,8310.742
"I2","MEX","1130","Mexico","USA","United States",1989,"Export",6,313.502
"I2","MEX","1130","Mexico","USA","United States",1989,"Gross Exp.",2,313.502
"I2","MEX","1130","Mexico","USA","United States",1989,"Gross Imp.",1,6307.945
"I2","MEX","1130","Mexico","USA","United States",1989,"Import",5,6307.945
"I2","MEX","1130","Mexico","USA","United States",1990,"Export",6,822.438
"I2","MEX","1130","Mexico","USA","United States",1990,"Gross Exp.",2,822.438
