Code,Label,MX
,,2000
,Aguascalientes,
1001,Aguascalientes,X
1002,Asientos,X
1003,Calvillo,X
1004,Cosio,X
1005,Jesus Maria,X
1006,Pabellon de Arteaga,X
1007,Rincon de Romos,X
1008,San Jose de Gracia,X
1009,Tepezala,X
1010,"Llano, El",X
1011,San Francisco de los Romo,X
,Baja California,
2001,Ensenada,X
2002,Mexicali,X
2003,Tecate,X
2004,Tijuana,X
2005,Playas de Rosarito,X
,Baja California Sur,
3001,Comondu,X
3002,Mulege,X
3003,"Paz, La",X
3008,"Cabos, Los",X
3009,Loreto,X
,Campeche,
Code,Label,MX
,,2000
4001,Calkini,X
4002,Campeche,X
4003,Carmen,X
4004,Champoton,X
4005,Hecelchakan,X
4006,Hopelchen,X
4007,Palizada,X
4008,Tenabo,X
4009,Escarcega,X
4010,Calakmul,X
4011,Candelaria,X
,Coahuila,
5001,Abasolo,X
5002,Acuna,X
5003,Allende,X
5004,Arteaga,X
5005,Candela,X
5006,Castanos,X
5007,Cuatrocienegas,X
5008,Escobedo,X
5009,Francisco I. Madero,X
5010,Frontera,X
5011,General Cepeda,X
5012,Guerrero,X
5013,Hidalgo,X
Code,Label,MX
,,2000
5014,Jimenez,X
5015,Juarez,X
5016,Lamadrid,X
5017,Matamoros,X
5018,Monclova,X
5019,Morelos,X
5020,Muzquiz,X
5021,Nadadores,X
5022,Nava,X
5023,Ocampo,X
5024,Parras,X
5025,Piedras Negras,X
5026,Progreso,X
5027,Ramos Arizpe,X
5028,Sabinas,X
5029,Sacramento,X
5030,Saltillo,X
5031,San Buenaventura,X
5032,San Juan de Sabinas,X
5033,San Pedro,X
5034,Sierra Mojada,X
5035,Torreon,X
5036,Viesca,X
5037,Villa Union,X
5038,Zaragoza,X
Code,Label,MX
,,2000
,Colima,
6001,Armeria,X
6002,Colima,X
6003,Comala,X
6004,Coquimatlan,X
6005,Cuauhtemoc,X
6006,Ixtlahuacan,X
6007,Manzanillo,X
6008,Minatitlan,X
6009,Tecoman,X
6010,Villa de Alvarez,X
,Chiapas,
7001,Acacoyagua,X
7002,Acala,X
7003,Acapetahua,X
7004,Altamirano,X
7005,Amatan,X
7006,Amatenango de la Frontera,X
7007,Amatenango del Valle,X
7008,Angel Albino Corzo,X
7009,Arriaga,X
7010,Bejucal de Ocampo,X
7011,Bella Vista,X
7012,Berriozabal,X
7013,Bochil,X
Code,Label,MX
,,2000
7014,"Bosque, El",X
7015,Cacahoatan,X
7016,Catazaja,X
7017,Cintalapa,X
7018,Coapilla,X
7019,Comitan de Dominguez,X
7020,"Concordia, La",X
7021,Copainala,X
7022,Chalchihuitan,X
7023,Chamula,X
7024,Chanal,X
7025,Chapultenango,X
7026,Chenalho,X
7027,Chiapa de Corzo,X
7028,Chiapilla,X
7029,Chicoasen,X
7030,Chicomuselo,X
7031,Chilon,X
7032,Escuintla,X
7033,Francisco Leon,X
7034,Frontera Comalapa,X
7035,Frontera Hidalgo,X
7036,"Grandeza, La",X
7037,Huehuetan,X
7038,Huixtan,X
Code,Label,MX
,,2000
7039,Huitiupan,X
7040,Huixtla,X
7041,"Independencia, La",X
7042,Ixhuatan,X
7043,Ixtacomitan,X
7044,Ixtapa,X
7045,Ixtapangajoya,X
7046,Jiquipilas,X
7047,Jitotol,X
7048,Juarez,X
7049,Larrainzar,X
7050,"Libertad, La",X
7051,Mapastepec,X
7052,"Margaritas, Las",X
7053,Mazapa de Madero,X
7054,Mazatan,X
7055,Metapa,X
7056,Mitontic,X
7057,Motozintla,X
7058,Nicolas Ruiz,X
7059,Ocosingo,X
7060,Ocotepec,X
7061,Ocozocoautla de Espinosa,X
7062,Ostuacan,X
7063,Osumacinta,X
Code,Label,MX
,,2000
7064,Oxchuc,X
7065,Palenque,X
7066,Pantelho,X
7067,Pantepec,X
7068,Pichucalco,X
7069,Pijijiapan,X
7070,"Porvenir, El",X
7071,Villa Comaltitlan,X
