Subhead,Description,Canada,,USA,,Mexico,
0101.11,"Horses, live pure-bred breeding",0101.11.00,D,0101.11.00,D,0101.11.01,A
,,,,,,,
0101.19,"Horses, live except pure-bred breeding",0101.19.00,D,0101.19.00,D,0101.19.01,A
,,,,,,0101.19.02,A
,,,,,,0101.19.03,A
,,,,,,0101.19.99,A
,,,,,,,
0101.20,"Asses, mules and hinnies, live",0101.20.00,D,0101.20.10,D,0101.20.01,A
,,,,0101.20.20,A,,
,,,,0101.20.30,D,,
,,,,0101.20.40,A,,
,,,,,,,
0102.10,"Bovine, live pure-bred breeding",0102.10.00,D,0102.10.00,D,0102.10.01,D
,,,,,,,
0102.90,"Bovine, live except pure-bred breeding",0102.90.10,D,0102.90.20,D,0102.90.01,D
,,0102.90.90,A,0102.90.40,A,0102.90.02,D
,,,,,,0102.90.03,D
,,,,,,0102.90.99,D
,,,,,,,
0103.10,"Swine, live pure-bred breeding",0103.10.00,D,0103.10.00,D,0103.10.01,D
,,,,,,,
0103.91,"Swine, live except pure-bred breeding weighing less than 50 kg",0103.91.00,D,0103.91.00,D,0103.91.01,A
,,,,,,0103.91.99,Ctq
,,,,,,,
0103.92,"Swine, live except pure-bred breeding weighing 50 kg or more",0103.92.00,D,0103.92.00,D,0103.92.01,A
,,,,,,0103.92.99,Ctq
,,,,,,,
0104.10,"Sheep, live",0104.10.10,D,0104.10.00,D,0104.10.01,D
,,0104.10.90,A,,,0104.10.02,C
,,,,,,0104.10.99,C
,,,,,,,
0104.20,"Goats, live",0104.20.10,D,0104.20.00,A,0104.20.01,D
,,0104.20.90,A,,,0104.20.99,B
,,,,,,,
0105.11,"Fowls, live domestic weighing not more than 185 g",0105.11.10,D,0105.11.00,A,0105.11.01,EX
,,0105.11.90,Bg,,,0105.11.02,D
,,0105.11.9V,Ex,,,0105.11.99,C
,,,,,,,
0105.19,"Poultry, live except domestic fowls, weighing not more than 18",0105.19.10,D,0105.19.00,A,0105.19.99,C
,,0105.19.91,A,,,,
,,0105.19.92,Bg,,,,
,,,,,,,
0105.91,"Fowls, live domestic weighing more than 185 g",0105.91.00,Ex,0105.91.00,A,0105.91.01,EX
,,,,,,0105.91.99,EX
,,,,,,,
0105.99,"Poultry, live except domestic fowls, weighing more than 185 g",0105.99.00,Ex,0105.99.00,A,0105.99.99,EX
,,,,,,,
0106.00,"Animals, live nes",0106.00.00,D,0106.00.10,A,0106.00.01,A
,,,,,,,
,,,,0106.00.30,A,0106.00.02,A
,,,,0106.00.50,D,0106.00.03,A
,,,,,,0106.00.99,C
,,,,,,,
0201.10,"Bovine carcasses and half carcasses, fresh or chilled",0201.10.00,A,0201.10.00,A,0201.10.01,D
,,,,,,,
0201.20,"Bovine cuts bone in, fresh or chilled",0201.20.00,A,0201.20.20,A,0201.20.99,D
,,,,0201.20.40,A,,
,,,,0201.20.60,A,,
,,,,,,,
0201.30,"Bovine cuts boneless, fresh or chilled",0201.30.00,A,0201.30.20,A,0201.30.01,D
,,,,0201.30.40,A,,
,,,,0201.30.60,A,,
,,,,,,,
0202.10,"Bovine carcasses and half carcasses, frozen",0202.10.00,A,0202.10.00,A,0202.10.01,D
,,,,,,,
0202.20,"Bovine cuts bone in, frozen",0202.20.00,A,0202.20.20,A,0202.20.99,D
,,,,0202.20.40,A,,
,,,,0202.20.60,A,,
,,,,,,,
0202.30,"Bovine cuts boneless, frozen",0202.30.00,Bg,0202.30.20,A,0202.30.01,D
,,,,0202.30.40,A,,
,,,,0202.30.60,A,,
,,,,,,,
0203.11,"Swine carcasses and half carcasses, fresh or chilled",0203.11.00,D,0203.11.00,D,0203.11.01,Ctq
,,,,,,,
0203.12,"Hams, shoulders and cuts thereof, of swine bone in, fresh or",0203.12.00,D,0203.12.10,A,0203.12.01,Ctq
,,,,0203.12.90,D,,
,,,,,,,
0203.19,"Swine cuts, fresh or chilled, nes",0203.19.00,D,0203.19.20,A,0203.19.99,Ctq
,,,,0203.19.40,D,,
,,,,,,,
0203.21,"Swine carcasses and half carcasses, frozen",0203.21.00,D,0203.21.00,D,0203.21.01,Ctq
,,,,,,,
0203.22,"Hams, shoulders and cuts thereof, of swine, bone in, frozen",0203.22.00,D,0203.22.10,A,0203.22.01,Ctq
,,,,0203.22.90,D,,
,,,,,,,
0203.29,"Swine cuts, frozen nes",0203.29.00,D,0203.29.20,A,0203.29.99,Ctq
,,,,0203.29.40,D,,
,,,,,,,
0204.10,"Lamb carcasses and half carcasses, fresh or chilled",0204.10.00,A,0204.10.00,A,0204.10.01,C
,,,,,,,
0204.21,"Sheep carcasses and half carcasses, fresh or chilled",0204.21.00,A,0204.21.00,A,0204.21.01,C
,,,,,,,
0204.22,"Sheep cuts, bone in, fresh or chilled",0204.22.10,A,0204.22.20,A,0204.22.01,C
,,0204.22.20,A,0204.22.40,A,,
,,,,,,,
0204.23,"Sheep cuts, boneless, fresh or chilled",0204.23.10,A,0204.23.20,A,0204.23.01,C
,,0204.23.20,A,0204.23.40,A,,
,,,,,,,
0204.30,"Lamb carcasses and half carcasses, frozen",0204.30.00,A,0204.30.00,A,0204.30.01,C
,,,,,,,
,,,,,,,
0204.41,"Sheep carcasses and half carcasses, frozen",0204.41.00,A,0204.41.00,A,0204.41.01,C
,,,,,,,
0204.42,"Sheep cuts, bone in, frozen",0204.42.10,A,0204.42.20,A,0204.42.01,C
,,0204.42.20,A,0204.42.40,A,,
