"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1991,1991,"CMT","AHS",11.58,5.24,7.36,0,20,314,0,87,1446628.677,
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1991,1991,"CMT","MFN",11.58,5.24,7.36,0,20,314,0,87,1446628.677,
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1995,1995,"CMT","AHS",3.36,4.13,5.78,0,20,308,0,24,1930766.016,
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1995,1995,"CMT","BND",32.66,35.95,11.22,0,45,317,0,262,1930766.016,100
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1995,1995,"CMT","MFN",11.29,7.2,7.45,0,20,308,0,84,1930766.016,
"I2","H0","484","Mexico","1110","Agricultural and livestock production","840","United States",1995,1995,"CMT","PRF",2.62,3.81,5.05,0,20,,,15,1883112.016,
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1991,1991,"CMT","AHS",10.5,10.31,2.76,10,20,12,0,1,5335.249,
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1991,1991,"CMT","MFN",10.5,10.31,2.76,10,20,12,0,1,5335.249,
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1995,1995,"CMT","AHS",0.89,2.89,4.16,0,16,15,0,1,3525,
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1995,1995,"CMT","BND",23.14,22,10.87,9,37.5,31,0,26,3525,100
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1995,1995,"CMT","MFN",10,10,3.65,0,20,15,0,1,3525,
"I2","H0","484","Mexico","1130","Hunting, trapping and game propagation","840","United States",1995,1995,"CMT","PRF",0.89,2.89,4.16,0,16,,,1,3525,
"I2","H0","484","Mexico","1210","Forestry","840","United States",1991,1991,"CMT","AHS",10.32,6.22,2.52,0,15,41,0,0,21526.422,
"I2","H0","484","Mexico","1210","Forestry","840","United States",1991,1991,"CMT","MFN",10.32,6.22,2.52,0,15,41,0,0,21526.422,
"I2","H0","484","Mexico","1210","Forestry","840","United States",1995,1995,"CMT","AHS",1.53,0.41,2.3,0,8,39,0,0,23257,
"I2","H0","484","Mexico","1210","Forestry","840","United States",1995,1995,"CMT","BND",28.26,26.38,7.23,5,45,118,0,116,23257,100
"I2","H0","484","Mexico","1210","Forestry","840","United States",1995,1995,"CMT","MFN",10.32,3.88,2.58,0,15,39,0,0,23257,
"I2","H0","484","Mexico","1210","Forestry","840","United States",1995,1995,"CMT","PRF",1.53,0.41,2.3,0,8,,,0,23257,
"I2","H0","484","Mexico","1220","Logging","840","United States",1991,1991,"CMT","AHS",11.22,10.13,3.11,10,20,14,0,1,16691.68,
"I2","H0","484","Mexico","1220","Logging","840","United States",1991,1991,"CMT","MFN",11.22,10.13,3.11,10,20,14,0,1,16691.68,
"I2","H0","484","Mexico","1220","Logging","840","United States",1995,1995,"CMT","AHS",7.54,8,3.23,0,12,14,0,0,6636,
"I2","H0","484","Mexico","1220","Logging","840","United States",1995,1995,"CMT","BND",35,35,0,35,35,10,0,10,6636,100
"I2","H0","484","Mexico","1220","Logging","840","United States",1995,1995,"CMT","MFN",11.22,10.06,3.11,10,20,14,0,1,6636,
"I2","H0","484","Mexico","1220","Logging","840","United States",1995,1995,"CMT","PRF",7.54,8,3.23,0,12,,,0,6636,
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1991,1991,"CMT","AHS",19.14,18.46,3.18,10,20,79,0,70,6477.177,
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1991,1991,"CMT","MFN",19.14,18.46,3.18,10,20,79,0,70,6477.177,
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1995,1995,"CMT","AHS",5.25,9.59,6.84,0,20,74,0,12,13568,
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1995,1995,"CMT","BND",34.65,34.99,3.95,0,36,93,0,92,13568,100
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1995,1995,"CMT","MFN",18.96,18.78,3.11,10,20,74,0,66,13568,
"I2","H0","484","Mexico","1301","Ocean and coastal fishing","840","United States",1995,1995,"CMT","PRF",5.03,9.59,6.66,0,16,,,11,13565,
"I2","H0","484","Mexico","1302","Fishing not elsewhere classified","840","United States",1991,1991,"CMT","AHS",10,10,0,10,10,2,0,0,97.873,
"I2","H0","484","Mexico","1302","Fishing not elsewhere classified","840","United States",1991,1991,"CMT","MFN",10,10,0,10,10,2,0,0,97.873,
"I2","H0","484","Mexico","1302","Fishing not elsewhere classified","840","United States",1995,1995,"CMT","AHS",10,10,0,10,10,2,0,0,18,
"I2","H0","484","Mexico","1302","Fishing not elsewhere classified","840","United States",1995,1995,"CMT","BND",35,35,0,35,35,1,0,1,18,100
"I2","H0","484","Mexico","1302","Fishing not elsewhere classified","840","United States",1995,1995,"CMT","MFN",10,10,0,10,10,2,0,0,18,
"I2","H0","484","Mexico","2100","Coal mining","840","United States",1991,1991,"CMT","AHS",10,10,0,10,10,6,0,0,4731.27,
