"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1989,1989,"TRN","AHS",4.48,3.31,9.14,0,35,251,16,20,1694704,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1989,1989,"TRN","MFN",4.48,3.31,9.14,0,35,251,16,20,1694704,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1990,1990,"TRN","AHS",5.15,3.78,9.39,0,35,242,17,21,2066182,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1990,1990,"TRN","MFN",5.15,3.78,9.39,0,35,242,17,21,2066182,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1991,1991,"CMT","AHS",5.37,4.17,9.39,0,35,233,17,21,2016261.895,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1991,1991,"CMT","MFN",5.37,4.17,9.39,0,35,233,17,21,2016261.895,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1992,1992,"CMT","AHS",4.66,3.72,8.99,0,35,261,17,21,1863206.002,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1992,1992,"CMT","MFN",4.66,3.72,8.99,0,35,261,17,21,1863206.002,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1993,1993,"CMT","AHS",4.07,3.82,9.05,0,35,253,16,19,2152789.512,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1993,1993,"CMT","MFN",4.07,3.82,9.05,0,35,253,16,19,2152789.512,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1995,1995,"CMT","AHS",1.98,1.34,16.08,0,187.9,284,10,11,2954584.729,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1995,1995,"CMT","BND",8.4,3.01,63.1,0,350,374,37,25,2954584.729,100
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1995,1995,"CMT","MFN",7.56,3.64,21.17,0,187.9,284,18,21,2954584.729,
"I2","H0","840","United States","1110","Agricultural and livestock production","484","Mexico",1995,1995,"CMT","PRF",0.87,0.86,3.69,0,30.3,113,,4,2342063.54,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1989,1989,"TRN","AHS",1.57,3.6,3.33,0,8,8,0,0,228,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1989,1989,"TRN","MFN",1.57,3.6,3.33,0,8,8,0,0,228,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1990,1990,"TRN","AHS",2.61,2.15,3.49,0,8,6,0,0,379,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1990,1990,"TRN","MFN",2.61,2.15,3.49,0,8,6,0,0,379,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1991,1991,"CMT","AHS",2.61,3.41,3.49,0,8,6,0,0,254.565,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1991,1991,"CMT","MFN",2.61,3.41,3.49,0,8,6,0,0,254.565,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1992,1992,"CMT","AHS",3.83,3.83,3.06,0,7.5,3,0,0,237.686,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1992,1992,"CMT","MFN",3.83,3.83,3.06,0,7.5,3,0,0,237.686,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1993,1993,"CMT","AHS",1.28,3.56,3.03,0,7.5,5,0,0,272.512,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1993,1993,"CMT","MFN",1.28,3.56,3.03,0,7.5,5,0,0,272.512,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1995,1995,"CMT","AHS",0,0,0,0,0,6,0,0,385.194,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1995,1995,"CMT","BND",1.52,1.24,1.82,0,5,23,0,0,385.194,100
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1995,1995,"CMT","MFN",0.88,2.78,2.68,0,7,6,0,0,385.194,
"I2","H0","840","United States","1130","Hunting, trapping and game propagation","484","Mexico",1995,1995,"CMT","PRF",0,0,0,0,0,,,0,303.012,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1989,1989,"TRN","AHS",1.6,1.4,2.43,0,7.5,15,0,0,13160,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1989,1989,"TRN","MFN",1.6,1.4,2.43,0,7.5,15,0,0,13160,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1990,1990,"TRN","AHS",1.22,1.61,2.32,0,7.5,14,0,0,16684,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1990,1990,"TRN","MFN",1.22,1.61,2.32,0,7.5,14,0,0,16684,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1991,1991,"CMT","AHS",1.22,1.67,2.32,0,7.5,14,0,0,21610.681,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1991,1991,"CMT","MFN",1.22,1.67,2.32,0,7.5,14,0,0,21610.681,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1992,1992,"CMT","AHS",1.38,2.25,2.39,0,7.5,13,0,0,22309.401,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1992,1992,"CMT","MFN",1.38,2.25,2.39,0,7.5,13,0,0,22309.401,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1993,1993,"CMT","AHS",1.6,1.7,2.43,0,7.5,15,0,0,20656.704,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1993,1993,"CMT","MFN",1.6,1.7,2.43,0,7.5,15,0,0,20656.704,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1995,1995,"CMT","AHS",0,0,0,0,0,15,0,0,27365.741,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1995,1995,"CMT","BND",0.36,0.37,1.39,0,4.8,28,0,0,27365.741,100
"I2","H0","840","United States","1210","Forestry","484","Mexico",1995,1995,"CMT","MFN",0.46,0.34,1.36,0,4.8,15,0,0,27365.741,
"I2","H0","840","United States","1210","Forestry","484","Mexico",1995,1995,"CMT","PRF",0,0,0,0,0,,,0,7401.896,
"I2","H0","840","United States","1220","Logging","484","Mexico",1989,1989,"TRN","AHS",0.18,0.99,0.83,0,2.5,8,0,0,1927,
"I2","H0","840","United States","1220","Logging","484","Mexico",1989,1989,"TRN","MFN",0.18,0.99,0.83,0,2.5,8,0,0,1927,
"I2","H0","840","United States","1220","Logging","484","Mexico",1990,1990,"TRN","AHS",0.21,1.13,0.87,0,2.5,7,0,0,3262,
"I2","H0","840","United States","1220","Logging","484","Mexico",1990,1990,"TRN","MFN",0.21,1.13,0.87,0,2.5,7,0,0,3262,
"I2","H0","840","United States","1220","Logging","484","Mexico",1991,1991,"CMT","AHS",0.16,1.24,0.79,0,2.5,9,0,0,17904.82,
"I2","H0","840","United States","1220","Logging","484","Mexico",1991,1991,"CMT","MFN",0.16,1.24,0.79,0,2.5,9,0,0,17904.82,
"I2","H0","840","United States","1220","Logging","484","Mexico",1992,1992,"CMT","AHS",0.31,1.24,1,0,2.5,5,0,0,20936.356,
