Reporter,Reporter Code,Partner Name,Partner Code,Tariff Indicator Name,Tariff Indicator Code,Product,Product Code,1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994]
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010110 -- (2002-2011) - Pure-bred breeding animals,10110,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010111 -- (-2001) - - Pure-bred breeding animals,10111,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010119 -- (-2001) - - Other,10119,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"010120 -- (-2001) - Asses, mules and hinnies",10120,..,..,..,6.25,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010121 -- (2012-) -- Pure-bred breeding animals,10121,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010129 -- (2012-) -- Other,10129,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010130 -- (2012-) - Asses,10130,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010190 -- (2002-) - Other,10190,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010210 -- (-2011) - Pure-bred breeding animals,10210,0,0,0,0,0,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010221 -- (2012-) -- Pure-bred breeding animals,10221,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010229 -- (2012-) -- Other,10229,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010231 -- (2012-) -- Pure-bred breeding animals,10231,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010239 -- (2012-) -- Other,10239,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010290 -- - Other,10290,0.547876,0.551890016,0.414762586,0.511265516,0.544875503,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010310 -- - Pure-bred breeding animals,10310,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010391 -- -- Weighing less than 50 kg,10391,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010392 -- -- Weighing 50 kg or more,10392,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010410 -- - Sheep,10410,..,..,0,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010420 -- - Goats,10420,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010511 -- -- Fowls of the species Gallus domesticus,10511,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010512 -- (1996-) -- Turkeys,10512,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010513 -- (2012-) -- Ducks,10513,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010514 -- (2012-) -- Geese,10514,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010515 -- (2012-) -- Guinea fowls,10515,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010519 -- (-2011) -- Other,10519,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010591 -- (-1995) Fowls of the species Gallus domesticus,10591,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"010592 -- (1996-2006)  -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",10592,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,"010593 -- (1996-2006)  -- Fowls of the species Gallus domesticus, weighing more than 2,000 g",10593,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010594 -- (2007-) -- Fowls of the species Gallus domesticus,10594,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010599 -- -- Other,10599,..,..,..,..,..,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010600 -- (-2001) Other live animals,10600,3.833333254,3.833333254,3.833333254,3.833333254,3.833333254,..
United States,840,Mexico,484,A.SimpleAverage (%),SimpleAverage,010611 -- (2002-) -- Primates,10611,..,..,..,..,..,..
