"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H0","484","Mexico","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","840","United States",1991,1991,"CMT","AHS",11.32,5.14,7.43,0,20,299,0,80,1463929.692,
"I3","H0","484","Mexico","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","840","United States",1991,1991,"CMT","MFN",11.32,5.14,7.43,0,20,299,0,80,1463929.692,
"I3","H0","484","Mexico","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","840","United States",1995,1995,"CMT","AHS",3.23,4.1,5.79,0,20,303,0,24,1937093.016,
"I3","H0","484","Mexico","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","840","United States",1995,1995,"CMT","MFN",10.95,7,7.38,0,20,303,0,76,1937093.016,
"I3","H0","484","Mexico","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","840","United States",1995,1995,"CMT","PRF",2.43,3.78,5.03,0,20,,,15,1889439.016,
"I3","H0","484","Mexico","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","840","United States",1991,1991,"CMT","AHS",11.36,7.82,3.9,0,20,63,0,6,25366.502,
"I3","H0","484","Mexico","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","840","United States",1991,1991,"CMT","MFN",11.36,7.82,3.9,0,20,63,0,6,25366.502,
"I3","H0","484","Mexico","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","840","United States",1995,1995,"CMT","AHS",1.78,0.59,3.29,0,12,58,0,0,40498,
"I3","H0","484","Mexico","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","840","United States",1995,1995,"CMT","MFN",11.36,10.3,4.03,0,20,58,0,6,40498,
"I3","H0","484","Mexico","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","840","United States",1995,1995,"CMT","PRF",1.78,0.59,3.29,0,12,,,0,40498,
"I3","H0","484","Mexico","05","FISHING, OPERATION OF FISH HATCHERIES AND FISH FAR","840","United States",1991,1991,"CMT","AHS",18.13,14.51,4.4,10,20,38,0,28,1965.335,
"I3","H0","484","Mexico","05","FISHING, OPERATION OF FISH HATCHERIES AND FISH FAR","840","United States",1991,1991,"CMT","MFN",18.13,14.51,4.4,10,20,38,0,28,1965.335,
"I3","H0","484","Mexico","05","FISHING, OPERATION OF FISH HATCHERIES AND FISH FAR","840","United States",1995,1995,"CMT","AHS",6.38,5.5,6.86,0,20,30,0,5,3144,
"I3","H0","484","Mexico","05","FISHING, OPERATION OF FISH HATCHERIES AND FISH FAR","840","United States",1995,1995,"CMT","MFN",17.69,14.51,4.42,10,20,30,0,22,3144,
"I3","H0","484","Mexico","05","FISHING, OPERATION OF FISH HATCHERIES AND FISH FAR","840","United States",1995,1995,"CMT","PRF",5.67,5.46,6.64,0,16,,,4,3123,
"I3","H0","484","Mexico","10","MINING OF COAL AND LIGNITE; EXTRACTION OF PEAT","840","United States",1991,1991,"CMT","AHS",10,10,0,10,10,7,0,0,4772.943,
"I3","H0","484","Mexico","10","MINING OF COAL AND LIGNITE; EXTRACTION OF PEAT","840","United States",1991,1991,"CMT","MFN",10,10,0,10,10,7,0,0,4772.943,
"I3","H0","484","Mexico","10","MINING OF COAL AND LIGNITE; EXTRACTION OF PEAT","840","United States",1995,1995,"CMT","AHS",0,0,0,0,0,6,0,0,38736,
"I3","H0","484","Mexico","10","MINING OF COAL AND LIGNITE; EXTRACTION OF PEAT","840","United States",1995,1995,"CMT","MFN",10,10,0,10,10,6,0,0,38736,
"I3","H0","484","Mexico","10","MINING OF COAL AND LIGNITE; EXTRACTION OF PEAT","840","United States",1995,1995,"CMT","PRF",0,0,0,0,0,,,0,38736,
"I3","H0","484","Mexico","11","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SER","840","United States",1991,1991,"CMT","AHS",5,2.07,5,0,10,2,0,0,30960.119,
"I3","H0","484","Mexico","11","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SER","840","United States",1991,1991,"CMT","MFN",5,2.07,5,0,10,2,0,0,30960.119,
"I3","H0","484","Mexico","11","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SER","840","United States",1995,1995,"CMT","AHS",5.33,8,3.77,0,8,3,0,0,105780,
"I3","H0","484","Mexico","11","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SER","840","United States",1995,1995,"CMT","MFN",6.67,10,4.71,0,10,3,0,0,105780,
"I3","H0","484","Mexico","11","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS; SER","840","United States",1995,1995,"CMT","PRF",5.33,8,3.77,0,8,,,0,105780,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1991,1991,"CMT","AHS",8.61,6.96,3.7,0,10,19,0,0,15115.338,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1991,1991,"CMT","MFN",8.61,6.96,3.7,0,10,19,0,0,15115.338,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1995,1995,"CMT","AHS",0.75,0.58,1.89,0,6,18,0,0,17293,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1995,1995,"CMT","MFN",8.75,9.52,3.73,0,10,18,0,0,17293,
"I3","H0","484","Mexico","13","MINING OF METAL ORES","840","United States",1995,1995,"CMT","PRF",0.75,0.58,1.89,0,6,,,0,17293,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1991,1991,"CMT","AHS",9.82,6.4,3.15,0,20,90,0,1,129024.533,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1991,1991,"CMT","MFN",9.82,6.4,3.15,0,20,90,0,1,129024.533,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","AHS",0.82,1.49,2.47,0,12,84,0,0,135838,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","MFN",9.95,7.31,3.53,0,20,84,0,1,135838,
"I3","H0","484","Mexico","14","OTHER MINING AND QUARRYING","840","United States",1995,1995,"CMT","PRF",0.82,1.49,2.47,0,12,,,0,135838,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1991,1991,"CMT","AHS",15.49,10.81,5.13,0,20,503,0,247,1588277.015,
"I3","H0","484","Mexico","15","MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES","840","United States",1991,1991,"CMT","MFN",15.49,10.81,5.13,0,20,503,0,247,1588277.015,
