"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1989,1989,"TRN","AHS",4.82,3.51,9.27,0,35,243,16,20,1618476,
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1990,1990,"TRN","AHS",5.59,3.95,9.54,0,35,234,17,21,2003414,
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1991,1991,"CMT","AHS",5.58,4.32,9.5,0,35,227,17,21,1960933.059,
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1992,1992,"CMT","AHS",5.08,3.81,9.18,0,35,245,17,21,1820656.794,
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1993,1993,"CMT","AHS",4.33,3.94,9.11,0,35,243,16,19,2098452.677,
"I3","H0","840","United States","01","AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIE","484","Mexico",1995,1995,"CMT","AHS",2.01,1.39,16.17,0,187.9,279,10,11,2878564.15,
"I3","H0","840","United States","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","484","Mexico",1989,1989,"TRN","AHS",1.42,2.08,2.74,0,11,25,0,0,28523,
"I3","H0","840","United States","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","484","Mexico",1990,1990,"TRN","AHS",1.08,2.01,2.62,0,11,26,0,0,30945,
"I3","H0","840","United States","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","484","Mexico",1991,1991,"CMT","AHS",1.39,1.96,2.83,0,11,27,0,0,36063.23,
"I3","H0","840","United States","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","484","Mexico",1992,1992,"CMT","AHS",1.58,2.44,2.88,0,11,20,0,0,38171.764,
"I3","H0","840","United States","02","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","484","Mexico",1993,1993,"CMT","AHS",1.41,1.91,2.82,0,11,24,0,0,40735.892,
