state,year,RTC_mex5yr,RTC_us5yr,RTC2_us5yr,RTC2_mex5yr
484001,2000,-.0458782790435635,-.0172539586291274,-.0168765628077336,-.0419282673135513
484002,2000,-.0352752955345466,-.0057961222524412,-.006187969771247,-.0356953313155373
484003,2000,-.0282890158589453,-.0046951118451304,-.0049162521209922,-.0259218638760785
484004,2000,-.0257342098864228,-.002732471293136,-.0039691597788689,-.0231834114708818
484005,2000,-.0373473312497481,-.0079294412861941,-.0083271421190751,-.0349081037588803
484006,2000,-.027013310584266,-.0048032792975796,-.0053700903795857,-.0249251497710929
484007,2000,-.0215280777988447,-.0044770515431551,-.0040881143092,-.017637622980196
484008,2000,-.0330426816934732,-.0055666034983144,-.0052982128479862,-.0301623317816393
484009,2000,-.0457174093129993,-.0105646382802131,-.0116722764555188,-.0473524757522341
484010,2000,-.0368551244803257,-.0071667778866527,-.006264735713744,-.0302888934629095
484011,2000,-.0475511243679314,-.0182695838208939,-.014561989858521,-.0391590536665021
484012,2000,-.0303248357263186,-.0071930942438359,-.0050610708913528,-.0223695864833928
484013,2000,-.03459335238108,-.0105110876750985,-.0083618987210272,-.0268680054216475
484014,2000,-.0416297198579443,-.0109869811550851,-.0110197425032652,-.0390763065922712
484015,2000,-.0460394070085712,-.0108019368728205,-.0114542397593196,-.0433575961472812
484016,2000,-.0316904457215266,-.0060121792347569,-.0054875553659706,-.0259135419865402
484017,2000,-.0406044963931436,-.0091816405522698,-.0070690391053052,-.0319613106626662
484018,2000,-.0285197913585193,-.0043597888091469,-.0039527796409868,-.0236488619994475
484019,2000,-.0395152628683988,-.0061084850253068,-.0076731739030373,-.0403054188836762
484020,2000,-.0275798797836854,-.0046381869854522,-.0045747573711756,-.0208921382152951
484021,2000,-.0404758945689139,-.0123239408084599,-.0088583070328365,-.0290572643855853
484022,2000,-.0404762227326501,-.0074103921160065,-.0090919182111353,-.0362866689856673
484023,2000,-.0353808460335188,-.0049172150907966,-.0044601342136099,-.0240144862864327
484024,2000,-.0364893658658905,-.0089374805613844,-.0056318977627399,-.0266119537942586
484025,2000,-.0241758775453178,-.0046632470233234,-.0046906568868561,-.0222971021623835
484026,2000,-.0312876180640629,-.0051972570187147,-.0047576616517446,-.0271214873089036
484027,2000,-.0259970589616216,-.0039800629442435,-.0040425741207284,-.0212741741199238
484028,2000,-.0347731531703062,-.0046720125303032,-.0053208324443119,-.0321193599132528
484029,2000,-.0469284634793894,-.021386087957417,-.0169719035221831,-.0374004579371103
484030,2000,-.0285168296882716,-.0042408258024622,-.0042423810573489,-.0220780835254288
484031,2000,-.0401310217372384,-.0120448658178844,-.0097731760420432,-.0314458861960247
484032,2000,-.0245576939917882,-.0051479290324892,-.0048880813247871,-.0198248217931791
