munic,RTC_mex00,RTC_us00,RTC2_mex00,RTC2_us00,RTC_HM16_us00
484001001,-.1086538753106652,-.0622577225258567,-.1087995647503703,-.0697411553254597,-.0496543153084019
484001002,-.1043780294858152,-.0550659366890613,-.1033371369776432,-.053427045691933,-.0323961217342799
484001003,-.104669559678257,-.0484926324756714,-.1041985757437942,-.0510765573199023,-.0320901784994874
484001004,-.1066353222413454,-.058961563898265,-.1033701470732922,-.05244140855757,-.0315010777512725
484001005,-.1138288211198759,-.0722023546057446,-.1108873983830563,-.0680147524144559,-.0502975389883034
484001006,-.1051857963866496,-.0662277092965269,-.1041079304741288,-.0530972937656315,-.030842172479538
484001007,-.113378495676443,-.0554673828009982,-.1052276067202911,-.0492426547571085,-.0312499147366907
484001008,-.1041710759309353,-.0581864773957932,-.1016090232005809,-.0511313684546622,-.0308506606215815
484002001,-.1171793620706012,-.0329609266555053,-.1152839164860779,-.0402222574127791,-.0203146776139533
484002002,-.1087067732260039,-.0465122581035757,-.1095690516822288,-.0482632680499933,-.0255165544567006
484002003,-.1014043342779587,-.0330429763572511,-.1080431736518221,-.0404113736938143,-.017299269806557
484002004,-.1187162797616566,-.0494124037105621,-.1159356775474407,-.0519839115965794,-.0226749138158553
484003001,-.1052265431708293,-.0348174013097378,-.1106738521757507,-.0370660973294434,-.019101875195048
484004001,-.1135336445731809,-.0554495036612934,-.108025006018579,-.0567721250663453,-.0373517232621907
484004002,-.1051666609782842,-.0404236008835142,-.1098030053144612,-.0426113649045874,-.0185955786699878
484004003,-.1001392741618474,-.0280353270262026,-.1019422249828494,-.0355181347821372,-.018143832463835
484004004,-.1029983581393026,-.0426733166823396,-.1022451363969594,-.0466347453948401,-.0268989807336766
484004005,-.1117306977976114,-.0254452226799913,-.1077213347889483,-.0363494459743379,-.0209872609984814
484004006,-.1087682644138113,-.040108584711561,-.1039614918990992,-.0434949953414616,-.0248952753281628
484005001,-.0925244046375155,-.0460483925417066,-.0961830480955541,-.0467139310203493,-.0312320468619873
484005002,-.1165583125384728,-.0426740402091355,-.1165177890070481,-.0441821267204432,-.0203269282442307
484005003,-.103948416915955,-.0375750738985516,-.1060128991957754,-.0440055234939791,-.0264981947598244
484005004,-.1047109400096815,-.0432022863724342,-.1046801160264295,-.0432101997098471,-.0240102316139996
484005005,-.1013498678803444,-.0442417860031128,-.1013498678803444,-.0442417860031128,-.0250134728848934
484005006,-.0922081514290767,-.0396574921614956,-.0922479806467891,-.0410696044491488,-.0277179703891761
484005007,-.0983856798848137,-.0384341897006379,-.100886238651583,-.0404439673002344,-.0218557202038028
484005008,-.0969101320952177,-.0432248865254223,-.0995371257886291,-.0438265849370509,-.0259777158498764
484005009,-.1014531462533341,-.0467277039897454,-.1015634391224012,-.0473685075644426,-.0263034362991448
484005010,-.0915950696507934,-.0503761897930417,-.0898069278446201,-.0439873128618729,-.0292460586355503
484005011,-.1017978926829528,-.0462006490497515,-.101655433230917,-.0473760159666199,-.0283250949260037
484005012,-.1013498678803444,-.0442417860031128,-.1013498678803444,-.0442417860031128,-.0250134728848934
484005013,-.1013498678803444,-.0442417860031128,-.1013498604297638,-.0442417822778225,-.0250134710222483
484005014,-.1184226404584479,-.0600911604242356,-.1127646765380632,-.0547142037894446,-.0335318507841293
484005015,-.1097640935331583,-.0329958467045799,-.1091961599886417,-.0337549201212823,-.01869812537916
484005016,-.0910162208601832,-.0412982483394444,-.0938939191401005,-.0421988322632387,-.0286088571083383
484005017,-.1056264882769922,-.0467744950388358,-.1027582448568865,-.0479622095624563,-.0266405520555679
484005018,-.0857245496172254,-.0384142352692152,-.0861543302526115,-.0408597378473132,-.0308223891490229
484005019,-.0965476304409094,-.0368101694402867,-.0967814120813273,-.0377555465965997,-.0247408618749887
484005020,-.0973284967330983,-.0184789992476908,-.0959757561249717,-.0174509572213992,-.0105652094330253
